title,timestamp_first,timestamp_end,def_first,def_end,label
Betty Wood,2021-10-30T13:13:01Z,2021-10-30T15:02:08Z,"Betty C. Wood was a British historian and academic who specialised in early American history, Atlantic history, social history, and slavery in eighteenth and early nineteenth century.","Betty C. Wood was a British historian and academic who specialised in early American history, Atlantic history, social history, and slavery in eighteenth and early nineteenth century.",0
Colette,2021-10-08T04:54:46Z,2021-10-28T23:26:21Z,"Sidonie-Gabrielle Colette (French: ; 28 January 1873 – 3 August 1954), known mononymously as Colette, was a French author and woman of letters.","Sidonie-Gabrielle Colette (French: ; 28 January 1873 – 3 August 1954), known mononymously as Colette, was a French author and woman of letters.",0
World Forestry Congress,2021-10-12T00:08:50Z,2021-10-20T00:57:57Z,The aim of the WFC is to contribute to orient/shape international action in silvicultural aspects and stimulate global competency and reflection that can inform the development of the global forestry sector.,The aim of the WFC is to contribute to orient/shape international action in silvicultural aspects and stimulate global competency and reflection that can inform the development of the global forestry sector.,0
Rumble Pak,2021-10-16T14:47:10Z,2021-10-20T16:16:12Z,"The Rumble Pak (Japanese: 振動パック, Hepburn: Shindō Pakku) is a removable device from Nintendo which provides force feedback while playing video games.","The Rumble Pak (Japanese: 振動パック, Hepburn: Shindō Pakku) is a removable device from Nintendo which provides force feedback while playing video games.",0
Bakerloo line,2021-10-11T14:04:42Z,2021-10-31T19:47:42Z,"The Bakerloo line is a London Underground line that goes from Harrow & Wealdstone in suburban north-west London to Elephant & Castle in south London, via the West End, serving 25 stations over 14.4 miles (23.2 km).","The Bakerloo line is a London Underground line that goes from Harrow & Wealdstone in suburban north-west London to Elephant & Castle in south London, via the West End, serving 25 stations, 15 of which are underground, over 14.4 miles (23.2 km).",0
Pushpa Lal Shrestha,2021-10-17T11:30:11Z,2021-10-17T14:17:24Z,"Pushpa Lal Shrestha is considered to be the father of Nepali communism and the founder and general secretary of the first Nepali communist party, the Communist Party of Nepal.","Pushpa Lal Shrestha is considered to be the father of Nepali communism and the founder and general secretary of the first Nepali communist party, the Communist Party of Nepal.",0
Twinkie,2021-10-16T06:23:40Z,2021-10-29T17:30:25Z,"A Twinkie is an American snack cake, described as ""golden sponge cake with a creamy filling"".","A Twinkie is an American snack cake, described as ""golden sponge cake with a creamy filling"".",0
Evelyn Hatch,2021-10-12T20:26:41Z,2021-10-25T09:22:00Z,"Evelyn Hatch (1871 – 1951) was an English child friend of the adult Charles Lutwidge Dodgson, better known by his pen name of Lewis Carroll.","Evelyn Hatch (1871 or 1874 – 1951) was an English child friend of the adult Charles Lutwidge Dodgson, better known by his pen name of Lewis Carroll.",0
Wang Yaping,2021-10-14T13:39:04Z,2021-10-16T19:45:26Z,Wang Yaping is the seventh female military pilot in China.,Wang Yaping is from the seventh batch of female military pilots in China.,1
Janet Gardner,2021-10-06T00:04:18Z,2021-10-06T00:06:09Z,Janet Patricia Gardner is an American rock singer best known as the former lead vocalist and rhythm guitarist of the all-female glam metal band Vixen.,Janet Patricia Gardner is an American rock singer best known as the former lead vocalist and rhythm guitarist of the all-female glam metal band Vixen.,0
CRO Race,2021-10-06T10:57:28Z,2021-10-06T12:58:42Z,The Tour of Croatia is a men's cycling stage race that takes place in Croatia and is part of the UCI Europe Tour.,"The CRO Race is a men's cycling stage race that takes place in Croatia and is part of the UCI Europe Tour, rated by the UCI as a 2.1 event, and is organised by Top Sport Events of Vladimir Miholjević.",1
Seán Brosnan,2021-10-15T08:54:39Z,2021-10-16T14:20:31Z,Seán Brosnan (21 December 1916 – 18 April 1979) was an Irish barrister and Fianna Fáil politician.,"Seán Brosnan was an Irish barrister and Fianna Fáil politician who served for 10 years in the Oireachtas, as a Teachta Dála (TD) and as a senator.",1
Minister of Health and Care Services,2021-10-14T11:17:45Z,2021-10-22T12:05:53Z,The Minister of Health and Care Services is a councilor of state and chief of the Norway's Ministry of Health and Care Services.,The Minister of Health and Care Services is a councilor of state and chief of the Norway's Ministry of Health and Care Services.,0
Virtus.pro,2021-10-11T13:58:10Z,2021-11-01T15:42:16Z,Virtus. pro (VP) is an esports organization based in Russia founded in 2003.,Virtus.pro is an esports organization based in Russia founded in 2003.,0
Let It Go,2021-10-02T08:54:06Z,2021-10-29T20:55:55Z,"""Let It Go"" is a song from Disney's 2013 computer-animated feature film Frozen, whose music and lyrics were composed by husband-and-wife songwriting team Kristen Anderson-Lopez and Robert Lopez.","""Let It Go"" is a song from Disney's 2013 computer-animated feature film Frozen, whose music and lyrics were composed by husband-and-wife songwriting team Kristen Anderson-Lopez and Robert Lopez.",0
Doukhobors,2021-10-17T01:34:32Z,2021-10-25T15:53:32Z,"The Doukhobours are a Spiritual Christian religious group of Russian origin distinguished as pacifists who lived in their own villages, rejected personal materialism, worked together, and developed a tradition of oral history and memorizing and singing hymns and verses.","The Doukhobours are a Spiritual Christian ethnoreligious group of Russian origin distinguished as pacifists who lived in their own villages, rejected personal materialism, worked together, and developed a tradition of oral history and memorizing and singing hymns and verses.",0
King Richard (film),2021-10-02T02:06:58Z,2021-10-28T21:06:20Z,"King Richard is a 2021 American biographical drama film following the life of Richard Williams, the father and coach of famed tennis players Venus and Serena Williams, and based on the true story that will inspire the world.","King Richard is a 2021 American biographical drama film directed by Reinaldo Marcus Green and written by Zach Baylin, and follows the life of Richard Williams, the father and coach of famed tennis players Venus and Serena Williams.",1
Lin Huiyin,2021-10-04T14:00:14Z,2021-10-04T18:49:35Z,Lin Huiyin is known to be the first female architect in modern China.,Lin Huiyin is known to be the first female architect in modern China.,0
Sheila Oliver,2021-10-22T13:14:06Z,2021-10-28T07:44:28Z,"Sheila Y. Oliver (born July 14, 1952) is an American politician serving as the Lieutenant Governor of New Jersey since 2018.","Sheila Y. Oliver (born July 14, 1952) is an American politician serving as the Lieutenant Governor of New Jersey since 2018.",0
Central African rock python,2021-10-08T04:40:38Z,2021-10-19T03:44:42Z,The African rock python (Python sebae) is a species of large constrictor snake in the family Pythonidae.,The African rock python (Python sebae) is a species of large constrictor snake in the family Pythonidae.,0
Party of Democratic Socialism (Germany),2021-10-10T19:14:48Z,2021-10-31T15:17:03Z,The Party of Democratic Socialism was a democratic socialist political party in Germany active between 1989 and 2007.,The Party of Democratic Socialism was a democratic socialist political party in Germany active between 1989 and 2007.,0
Outer Wilds,2021-10-06T03:15:05Z,2021-10-14T18:52:02Z,"Outer Wilds is a 2019 action-adventure game in which the player character explores a solar system stuck in a 22-minute time loop, which ends as the sun goes supernova.","Outer Wilds is a 2019 action-adventure game in which the player character explores a solar system stuck in a 22-minute time loop, which ends as the sun goes supernova.",0
Liberal Democratic Party (Japan),2021-10-01T01:36:26Z,2021-11-01T09:24:12Z,"The Liberal Democratic Party (自由民主党, Jiyū-Minshutō), frequently abbreviated to LDP or Jimintō (自民党), is a conservative political party in Japan.",The Liberal Democratic Party (LDP or Jimintō) is a conservative political party in Japan that has been in power almost continuously since its foundation in 1955.,1
Renault,2021-10-01T16:36:18Z,2021-10-31T20:23:47Z,Renault is a French multinational automobile manufacturer established in 1899 that produces a range of cars and vans.,Groupe Renault is a French multinational automobile manufacturer established in 1899.,0
Zodiac Killer,2021-10-02T11:09:14Z,2021-10-19T11:42:42Z,The Zodiac Killer is the pseudonym of a serial killer who operated in Northern California in the late 1960s and whose true identity remains unknown.,The Zodiac Killer is the pseudonym of a serial killer who operated in Northern California in the late 1960s and is known to have murdered five people and attempted to murder two others.,1
Wahbi Khazri,2021-10-06T02:36:39Z,2021-10-17T20:01:09Z,Khazri is a Tunisian professional footballer who plays as an Attacking midfielder for French Ligue 1 side Saint-Étienne and the Tunisia national team.,Khazri is a Tunisian professional footballer who plays as an Attacking midfielder for French Ligue 1 side Saint-Étienne and the Tunisia national team.,0
Jane Powell,2021-10-07T18:44:07Z,2021-10-16T21:44:19Z,"Jane Powell (born Suzanne Lorraine Burce; April 1, 1929 – September 16, 2021) was an American actress, singer, and dancer who first appeared in Metro-Goldwyn-Mayer musicals in the 1940s.","Jane Powell (born Suzanne Lorraine Burce; April 1, 1929 – September 16, 2021) was an American actress, singer, and dancer who first appeared in Metro-Goldwyn-Mayer musicals in the 1940s.",0
Betty Lynn,2021-10-17T16:14:31Z,2021-10-31T02:57:25Z,"Elizabeth Ann Theresa Lynn (born August 29, 1926) is an American retired actress.","Elizabeth Ann Theresa Lynn (August 29, 1926 – October 16, 2021) was an American actress best known for her role as Thelma Lou, Deputy Barney Fife's girlfriend, on The Andy Griffith Show.",1
Mio Sugita,2021-10-28T23:16:29Z,2021-10-30T23:03:36Z,"Mio Sugita (杉田 水脈 Sugita Mio, born April 22, 1967) is a Japanese politician.","Mio Sugita (杉田 水脈 Sugita Mio, born April 22, 1967) is a Japanese politician.",0
Ginger Baker,2021-10-25T09:10:56Z,2021-10-25T09:34:50Z,"Peter Edward ""Ginger"" Baker was an English drummer and a co-founder of the rock band Cream who gained fame for a style that melded jazz and African rhythms and pioneered both jazz fusion and world music.","Peter Edward ""Ginger"" Baker was an English drummer and a co-founder of the rock band Cream, known for his style that melded jazz and African rhythms and pioneering both jazz fusion and world music.",0
Mihaly Csikszentmihalyi,2021-10-20T23:52:58Z,2021-10-28T14:30:00Z,"Mihaly Csikszentmihalyi (/ˈmiːhaɪ ˈtʃiːksɛntmiːˌhɑːjiː/, Hungarian: Csíkszentmihályi Mihály, pronounced (listen); 29 September 1934 - 20 October 2021) was a Hungarian-American psychologist.","Mihaly Robert Csikszentmihalyi (/ˈmiːhaɪ ˈtʃiːksɛntmiːˌhɑːjiː/, Hungarian: Csíkszentmihályi Mihály Róbert, pronounced (listen); 29 September 1934 – 20 October 2021) was a Hungarian-American psychologist",0
Tom Waits,2021-10-04T14:18:37Z,2021-10-31T18:19:53Z,"Thomas Alan Waits is an American singer, musician, songwriter, composer, and actor.","Waits is an American musician, composer, songwriter and actor whose lyrics often focus on the underbelly of society and are delivered in his trademark deep, gravelly voice.",0
Lucas Zelarayán,2021-10-03T10:50:10Z,2021-10-31T16:09:07Z,"Lucas Manuel Zelarayán (born 20 June 1992) is a professional footballer who plays for Major League Soccer club Columbus Crew as an attacking midfielder. Born and raised in Argentina, Zelarayán represents the Armenia national football team.","Lucas Manuel Zelarayán (Armenian: Լուկաս Մանուել Զելարայան; born 20 June 1992) is a professional footballer who plays for Major League Soccer club Columbus Crew as an attacking midfielder. Born in Argentina, he represents the Armenia national team.",0
Steven Gerrard,2021-10-10T18:52:38Z,2021-10-31T23:09:58Z,Steven George Gerrard MBE (born 30 May 1980) is an English professional football manager and former player who currently manages Scottish Premiership club Rangers.,Steven George Gerrard MBE (born 30 May 1980) is an English professional football manager and former player who currently manages Scottish Premiership club Rangers.,0
Alfred Cannan,2021-10-12T16:03:54Z,2021-10-30T02:25:04Z,Alfred Louis Cannan is an independent Member of the House of Keys for Ayre & Michael and is the current Chief Minister of the Isle of Man.,Alfred Louis Cannan is a independent Member of the House of Keys for Ayre & Michael and is the current Chief Minister of the Isle of Man.,0
Fumio Kishida,2021-10-01T00:32:22Z,2021-11-01T21:45:16Z,Kishida is a Japanese politician serving as the President of the Liberal Democratic Party since 2021 and is expected to succeed Yoshihide Suga as Prime Minister by the Diet on 4 October 2021.,Fumio Kishida is a Japanese politician serving as Prime Minister of Japan since 4 October 2021.,1
Marc Márquez,2021-10-03T20:51:17Z,2021-10-28T04:09:19Z,"Marc Márquez Alentà (born 17 February 1993) is a Spanish Grand Prix solo motorcycle road racer and is considered to be one of the most successful motorcycle racers of all time, with eight Grand Prix World Championships to his name, six of which are in the premier class.","Marc Márquez Alentà (born 17 February 1993) is a Spanish Grand Prix solo motorcycle road racer and is considered to be one of the most successful motorcycle racers of all time, with eight Grand Prix World Championships to his name, six of which are in the premier class.",0
Egy Maulana Vikri,2021-10-02T08:43:58Z,2021-11-01T11:18:48Z,Egy Maulana Vikri (born 7 July 2000) is an Indonesian professional footballer who plays for Slovak Super Liga club FK Senica and the Indonesia national team.,Egy Maulana Vikri is an Indonesian professional footballer who plays for Slovak Super Liga club FK Senica and the Indonesia national team.,0
The Heroic Legend of Arslan,2021-10-09T03:11:46Z,2021-10-30T06:09:50Z,"The Heroic Legend of Arslan (Japanese: アルスラーン戦記, Hepburn: Arusurān Senki, lit. Arslan War Records) is a Japanese fantasy novel series written by Yoshiki Tanaka.","The Heroic Legend of Arslan (Japanese: アルスラーン戦記, Hepburn: Arusurān Senki, lit. Arslan War Records) is a Japanese fantasy novel series written by Yoshiki Tanaka.",0
Epic Games,2021-10-11T15:40:13Z,2021-10-30T07:00:51Z,"Epic Games is an American video game and software developer and publisher based in Cary, North Carolina.","Epic Games is an American video game and software developer and publisher based in Cary, North Carolina.",0
Dune,2021-10-04T14:47:27Z,2021-10-29T03:48:10Z,A dune is a landform composed of wind- or water-driven sand.,A dune is a landform composed of wind- or water-driven sand.,0
Espinoza Paz,2021-10-04T00:51:54Z,2021-10-23T16:48:40Z,"Espinoza Paz (Isidro Chavez Espinoza) was born on 29 October 1981 in La Angostura, a small town in the north of the state of Sinaloa, Mexico.","Espinoza Paz (Isidro Chávez Espinoza) was born on 29 October 1981 in La Angostura, a small town in the north of the state of Sinaloa, Mexico.",0
Máire Mhac an tSaoi,2021-10-09T22:53:07Z,2021-10-19T09:55:58Z,"Máire Mhac an tSaoi (born 4 April 1922) is an Irish language scholar, poet, writer and academic of modern literature in Irish","Máire Mhac an tSaoi was an Irish language scholar, poet, writer, and academic of modern literature in Irish.",0
Yannis Tafer,2021-10-20T01:40:53Z,2021-10-22T14:21:46Z,Tafer is a French professional footballer who plays as a winger for Swiss club Neuchâtel Xamax FCS.,Tafer is a French professional footballer who plays as a winger for Luxembourger club Racing-Union.,0
Giorgio Parisi,2021-10-05T09:50:28Z,2021-10-18T16:08:51Z,"Giorgio Parisi is an Italian theoretical physicist whose research has focused on quantum field theory, statistical mechanics and complex systems.","Giorgio Parisi (born 4 August 1948) is an Italian theoretical physicist, whose research has focused on quantum field theory, statistical mechanics and complex systems.",0
Piaroa people,2021-10-04T23:29:02Z,2021-10-31T17:37:03Z,The Piaroa (Huottüja De'aruhua) are an indigenous ethnic group of the middle Orinoco Basin in present-day Venezuela who have been an autonomous peaceful (pacifist) anarchy since they were discovered by missionaries and explorers around 1780.,The Piaroa people are a pre-Columbian South American indigenous ethnic group of the middle Orinoco Basin in present-day Colombia and Venezuela.,0
Amir Hossein Zare,2021-10-02T19:09:46Z,2021-10-31T11:52:20Z,Amir Hossein Zare is an Iranian freestyle wrestler who has won multiple medals in the senior level and age-group competitions.,"Amir Hossein Zare is an Iranian freestyle wrestler who is the reigning World Champion, the 2019 U23 World Champion, and the 2021 Tokyo Olympic Games bronze medalist.",1
Louise of Sweden,2021-10-24T00:46:37Z,2021-11-01T14:12:53Z,"Louise of Sweden (Louise Josephine Eugenie (Swedish: Lovisa Josefina Eugenia); 31 October 1851 – 20 March 1926), was Queen of Denmark as the spouse of King Frederick VIII.",Louise of Sweden (Louise Josephine Eugenie (Swedish: Lovisa Josefina Eugenia); 31 October 1851 – 20 March 1926) was Queen of Denmark from 1906 until 1912 as the spouse of King Frederick VIII.,0
The French Dispatch,2021-10-03T11:50:06Z,2021-11-01T22:13:12Z,"The French Dispatch of the Liberty, Kansas Evening Sun is a 2021 American comedy-drama anthology film written, directed, and produced by Wes Anderson from a story he conceived with Roman Coppola, Hugo Guinness, and Jason Schwartzman.","The French Dispatch of the Liberty, Kansas Evening Sun is a 2021 American comedy-drama anthology film written, directed, and produced by Wes Anderson from a story he conceived with Roman Coppola, Hugo Guinness, and Jason Schwartzman.",0
German Bowl XLII,2021-10-11T18:55:53Z,2021-10-31T13:12:46Z,The 42nd annual German Bowl was the championship of the 2021 German Football League.,The 42nd annual German Bowl was the championship of the 2021 German Football League.,0
Ashley Roberts,2021-10-03T20:55:55Z,2021-11-01T06:08:41Z,"Ashley Allyn Roberts (born September 14, 1981) is an American singer, dancer, actress, and television personality.","Ashley Allyn Roberts (born September 14, 1981) is an American singer, dancer, and television personality.",0
Göring Telegram,2021-10-03T06:59:12Z,2021-10-18T12:51:48Z,"The Göring Telegram was a message sent by Hermann Göring, Adolf Hitler's designated successor, on 23 April 1945 that asked for permission to assume leadership of the crumbling Third Reich.","The Göring Telegram was a message sent by Hermann Göring, head of the Luftwaffe and Adolf Hitler's designated successor as leader of Nazi Germany, that asked for permission to assume leadership of the crumbling regime on 23 April 1945.",1
"Door County, Wisconsin",2021-10-01T02:04:53Z,2021-11-01T22:01:12Z,Door County is the easternmost county in the U. S. state of Wisconsin.,Door County is the easternmost county in the U. S. state of Wisconsin.,0
Nikita Haikin,2021-10-05T12:58:42Z,2021-10-31T18:29:42Z,"Nikita Haikin (Russian: Никита Ильич Хайкин, Hebrew: ניקיטה חייקין; born 11 July 1995) is a football player who plays for Bodø/Glimt.",Nikita Ilyich Khaykin (Russian: Никита Ильич Хайкин; Hebrew: ניקיטה חייקין; born 11 July 1995) is a Russian professional footballer of Jewish descent who plays as a goalkeeper for Bodø/Glimt.,1
Filipinos,2021-10-03T02:51:46Z,2021-10-29T09:33:22Z,Filipinos (Filipino: Mga Pilipino) are the people who are native to or citizens of the country the Philippines.,Filipinos are the people who are citizens of or native to the Philippines.,0
Ziauddin Ahmed Bablu,2021-10-02T06:19:30Z,2021-10-12T06:15:20Z,Ziauddin Ahmed Bablu is a Bangladeshi politician and Secretary General of Jatiya Party.,Ziauddin Ahmed Bablu (31 December 1954 – 2 October 2021) was a Bangladeshi politician of the Jatiya Party and served as the Secretary General for two terms.,1
Reiwa Shinsengumi,2021-10-04T23:49:55Z,2021-11-01T07:06:17Z,Reiwa Shinsengumi is a left-wing populist and progressive political party in Japan founded by actor-turned-politician Tarō Yamamoto in April 2019.,Reiwa Shinsengumi (Japanese: れいわ新選組) is a left-wing populist and progressive political party in Japan founded by actor-turned-politician Tarō Yamamoto in April 2019.,0
Dilip Kumar,2021-10-03T21:27:04Z,2021-10-27T09:46:51Z,"Mohammed Yusuf Khan (11 December 1922 – 7 July 2021), better known by his stage name Dilip Kumar, was an Indian actor and film producer who worked in Hindi cinema.","Mohammed Yusuf Khan (11 December 1922 – 7 July 2021), better known by his stage name Dilip Kumar, was an Indian actor and film producer who worked in Hindi cinema.",0
Lotus Europa S,2021-10-03T14:48:24Z,2021-10-03T14:49:59Z,The Europa S is a modern version of the Europa line of the 1960s and 1970s.,The Europa S is a modern version of the Europa line of the 1960s and 1970s.,0
Bernard Haitink,2021-10-21T21:37:59Z,2021-10-24T22:01:06Z,"Bernard Johan Herman Haitink CH, KBE (Dutch: ; 4 March 1929 – 21 October 2021) was a Dutch conductor and violinist.",Bernard Johan Herman Haitink CH KBE (Dutch: ; 4 March 1929 – 21 October 2021) was a Dutch conductor and violinist.,0
Ronaldinho,2021-10-19T19:52:02Z,2021-10-24T16:51:54Z,"Ronaldinho is a Brazilian retired professional footballer who was renowned for his technical skills, creativity, dribbling ability and accuracy from free-kicks.","Ronaldinho is a Brazilian retired professional footballer who was renowned for his technical skills, creativity, dribbling ability and accuracy from free-kicks.",0
U2,2021-10-02T16:15:05Z,2021-10-30T07:47:07Z,"U2 are an Irish rock band from Dublin, formed in 1976, consisting of Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion).","U2 are an Irish rock band from Dublin, formed in 1976, consisting of Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion).",0
Yogendra Vyas,2021-10-29T20:43:59Z,2021-11-01T15:08:15Z,"Yogendra Dhirubhai Vyas was a Gujarati writer and linguist from Gujarat, India known for his linguistic study of Gujarati language.","Yogendra Dhirubhai Vyas (6 October 1940 – 23 September 2021) was a Gujarati writer and linguist from Gujarat, India.",0
Sergio Ramos,2021-10-02T15:05:37Z,2021-11-01T23:50:16Z,Sergio Ramos García is a Spanish professional footballer who plays for Ligue 1 club Paris Saint-Germain and the Spain national team.,Sergio Ramos García is a Spanish professional footballer who plays for Ligue 1 club Paris Saint-Germain and the Spain national team.,0
Ministry of Education and Research (Norway),2021-10-14T14:53:12Z,2021-10-16T18:45:44Z,"The Royal Ministry of Education and Research is a Norwegian government ministry responsible for education, research, kindergartens and integration.","The Royal Ministry of Education and Research is a Norwegian government ministry responsible for education, research, kindergartens and integration.",0
William Izarra,2021-10-05T21:54:13Z,2021-10-06T17:59:31Z,"William Ernesto Izarra Caldera was a Venezuelan diplomat, military official, and politician.","William Ernesto Izarra Caldera was a Venezuelan diplomat, military official, and politician.",0
Alec Baldwin,2021-10-07T18:42:30Z,2021-10-31T16:02:15Z,"Alexander Rae Baldwin III is an American actor, writer, comedian, film producer, and political activist.","Alexander Rae Baldwin III (born April 3, 1958) is an American actor, writer, comedian, film producer, and political activist.",0
Péter Márki-Zay,2021-10-03T13:30:10Z,2021-11-01T13:35:12Z,"Péter Márki-Zay is a Hungarian politician, marketer, economist and electrical engineer who is the mayor of Hódmezővásárhely since 2018.","Márki-Zay is a Hungarian politician, marketer, economist and electrical engineer.",0
Bud Flanagan,2021-10-08T08:06:45Z,2021-10-22T15:25:03Z,"Bud Flanagan, OBE (born Chaim Reuben Weintrop, 14 October 1896 – 20 October 1968) was a popular British music hall and vaudeville entertainer and comedian, and later a television and film actor.","Bud Flanagan, OBE (born Chaim Reuben Weintrop, 14 October 1896 – 20 October 1968) was a popular British music hall and vaudeville entertainer and comedian, and later a television and film actor.",0
Jesé,2021-10-02T01:38:42Z,2021-10-26T08:11:29Z,Jesé Rodríguez Ruiz is a Spanish professional footballer who plays as a forward for Segunda División club Las Palmas.,Jesé Rodríguez Ruiz is a Spanish professional footballer who plays as a forward for Segunda División club Las Palmas.,0
Gloria Estefan,2021-10-01T01:31:58Z,2021-10-20T19:49:21Z,"Gloria Estefan (Spanish: ; born Gloria María Milagrosa Fajardo García; September 1, 1957) is a Cuban-American singer, songwriter, actress and businesswoman.","Gloria Estefan (Spanish: ; born Gloria María Milagrosa Fajardo García; September 1, 1957) is a Cuban singer, songwriter, actress, and businesswoman.",0
Keizō Hayashi,2021-10-09T22:02:40Z,2021-10-10T18:17:22Z,"Keizō Hayashi (林 敬三, Hayashi Keizō, 8 January 1907 – 12 November 1991) was a Japanese civil servant, general officer and the first Chairman of Joint Staff Council (JSC), a post equivalent to Chief of the General Staff in other countries, from 1954 to 1964.","Keizō Hayashi (林 敬三, Hayashi Keizō, 8 January 1907 – 12 November 1991) was a Japanese civil servant, general officer and the first Chairman of Joint Staff Council (JSC), a post equivalent to Chief of the General Staff in other countries, from 1954 to 1964.",0
Chyna,2021-10-01T23:39:40Z,2021-10-29T17:28:59Z,"Chyna was an American professional wrestler, glamour model, author and bodybuilder who was billed as ""Ninth Wonder of the World"" and left a lasting legacy as the most dominant female competitor of all time.","Chyna was an American professional wrestler, pornographic actress, glamour model, author and bodybuilder who was the first female enforcer of the stable D-Generation X, held the WWF Intercontinental Championship twice, held the WWF Women's Championship once, was the first woman to participate in the Royal Rumble match and King of the Ring tournament, and was number one contender to the WWF Championship.",1
Chiedozie Ogbene,2021-10-02T16:34:52Z,2021-10-30T16:01:47Z,"Chiedozie Ogbene is an Irish professional footballer who plays for Rotherham United, as a winger, and represents the Republic of Ireland national team.",Chiedozie Ogbene is an Irish professional footballer who plays as a winger for Rotherham United and represents the Republic of Ireland national team through residence.,0
Muslim Brotherhood,2021-10-15T06:06:02Z,2021-10-31T16:22:50Z,The Muslim Brotherhood is a transnational Sunni Islamist organization founded in Egypt by Islamic scholar and schoolteacher Hassan al-Banna in 1928 with the aim of establishing a state ruled by Sharia law.,"The Muslim Brotherhood is a transnational Sunni Islamist organization founded in Egypt by Islamic scholar and schoolteacher Hassan al-Banna in 1928, aiming to end British colonial control of Egypt with the establishment of a state ruled by Sharia law.",0
Sirikit,2021-10-05T01:14:06Z,2021-11-01T23:00:05Z,Sirikit (Thai: สิริกิติ์; Thai pronunciation: ; listen (help·info); born Mom Rajawongse Sirikit Kitiyakara (Thai: สิริกิติ์ กิติยากร; RTGS: Sirikit Kitiyakon; 12 August 1932) is the Queen mother of Thailand. Vajiralongkorn (or Rama X).,Sirikit is the Queen mother of Thailand and the queen consort of King Bhumibol Adulyadej and the mother of King Vajiralongkorn.,1
Now United,2021-10-01T04:01:15Z,2021-11-01T17:02:17Z,"Now United is an international global pop music group formed in Los Angeles, California in August 2017 by Idols creator Simon Fuller.",Now United is the first global pop group formed in Los Angeles in August 2017 by Idols creator Simon Fuller.,1
Hinduism,2021-10-02T21:06:33Z,2021-10-18T14:12:17Z,"Hinduism is an Indian religion and dharma, or way of life.","Hinduism is an Indian religion and dharma, or way of life.",0
Ofri Arad,2021-10-05T02:47:58Z,2021-10-05T08:09:36Z,Ofri Arad is an Israeli footballer who plays as a centre-back for Maccabi Haifa.,Ofri Arad is an Israeli footballer who plays as a centre-back for Maccabi Haifa and the Israel national team.,1
Kimberley Atlético Club,2021-10-16T09:09:49Z,2021-10-24T22:25:54Z,"Kimberley Atlético Club is an Argentine sports club founded on 4 August 1906 as ""Kimberley Athletic Club"" by a group of young enthusiasts.","Kimberley Atlético Club is an Argentine sports club founded on 4 August 1906 as ""Kimberley Athletic Club"" by a group of young enthusiasts.",0
Lana Del Rey,2021-10-11T02:29:44Z,2021-11-01T13:20:01Z,"Lana Del Rey is an American singer-songwriter noted for her stylized, cinematic music that explores themes of sadness, tragic romance, glamor, and melancholia.","Lana Del Rey is an American singer-songwriter whose music is noted for its cinematic quality and exploration of tragic romance, glamour, and melancholia.",0
Fernando Llorente,2021-10-05T06:55:49Z,2021-10-28T23:36:45Z,Fernando Javier Llorente Torres is a Spanish professional footballer who plays as a striker for Italian club Udinese.,Fernando Javier Llorente Torres is a Spanish professional footballer who plays as a striker for Segunda División club Eibar.,0
WCBS-TV,2021-10-03T15:26:43Z,2021-10-31T13:44:58Z,"WCBS-TV, virtual channel 2 (UHF digital channel 36), is the East Coast flagship station of the CBS television network, licensed to New York, New York, United States.","WCBS-TV, virtual channel 2 (UHF digital channel 36), is the flagship station of the CBS television network, licensed to New York, New York, United States.",0
Ahmad ibn Hanbal,2021-10-06T21:44:00Z,2021-11-01T17:20:34Z,"Ibn Hanbal was an Iraqi Muslim jurist, theologian, ascetic, hadith traditionist, and founder of the Hanbali school of Sunni jurisprudence.","Ibn Hanbal was an Arab Muslim jurist, theologian, ascetic, hadith traditionist, and founder of the Hanbali school of Sunni jurisprudence.",0
Warren Feeney,2021-10-10T19:19:48Z,2021-10-11T20:11:23Z,Feeney is a football manager and former Northern Ireland international footballer.,Feeney is a football manager and former Northern Ireland international footballer currently managing Bulgarian First League side Pirin Blagoevgrad.,1
Reminiscence (2021 film),2021-10-01T22:55:01Z,2021-10-28T22:52:36Z,"Reminiscence is a 2021 American neo-noir science fiction thriller film written and directed by Lisa Joy, in her feature directorial debut.","Reminiscence is a 2021 American neo-noir science fiction thriller film written and directed by Lisa Joy, in her feature directorial debut.",0
Baruch Dego,2021-10-04T03:12:07Z,2021-10-08T19:20:43Z,"Baruch Dego (Hebrew: ברוך דגו; born 28 March 1982) is an Ethiopian-born Israeli former footballer, who played for the Israel national team.","Baruch Dego is an Ethiopian-born Israeli former association footballer, who played for the Israel national team.",0
Tony Khan,2021-10-03T02:12:59Z,2021-10-31T10:41:48Z,"Antony Rafiq Khan (born October 10, 1982) is an American businessman and sports executive known for his involvement in American football, professional wrestling, and association football.","Antony Rafiq Khan (born October 10, 1982) is an American businessman, professional wrestling promoter, and sports executive known for his involvement in American football, professional wrestling, and soccer.",0
