title,timestamp_first,timestamp_end,def_first,def_end,label,comment
Luis Gustavo (actor),2021-09-25T19:43:50Z,2021-10-01T23:54:01Z,"uis Gustavo Sánchez Blanco (February 2, 1934 — September 19, 2021) was a Brazilian actor.",Luis Gustavo Sánchez Blanco (2 February 1934 − 19 September 2021) was a Brazilian actor.,0,
Oliver Dowden,2021-09-08T20:07:50Z,2021-09-27T14:06:02Z,"Oliver James Dowden CBE is a British politician serving as Secretary of State for Digital, Culture, Media and Sport since 2020 and has been Member of Parliament for Hertsmere since 2015.",Oliver James Dowden CBE is a British politician serving as Co-Chairman of the Conservative Party alongside Ben Elliot since 2021 and as Minister without Portfolio.,1,
Edvin Kurtulus,2021-09-06T19:16:56Z,2021-09-13T16:01:58Z,Edvin Kurtulus is a Swedish-born Kosovan professional footballer who plays as a right-back for Halmstads BK in Allsvenskan.,Edvin Kurtulus is a professional footballer who plays as a right-back for Halmstads BK in Allsvenskan and represents Kosovo internationally.,0,
Good Guys Wear Black,2021-09-15T12:26:06Z,2021-09-15T13:29:33Z,Good Guys Wear Black is a 1978 American martial arts action film starring Chuck Norris and directed by Ted Post.,Good Guys Wear Black is a 1978 American martial arts action film starring Chuck Norris and directed by Ted Post.,0,
Sam Dolnick,2021-09-05T21:36:44Z,2021-09-13T12:51:14Z,Sam Dolnick is an American journalist and assistant managing editor for The New York Times.,"Sam Dolnick is an American journalist, film and television producer, and assistant managing editor for The New York Times.",0,
Heinrich Hoffmann (photographer),2021-09-05T02:13:28Z,2021-09-17T13:39:41Z,"Heinrich Hoffmann was Adolf Hitler's official photographer, a Nazi politician and publisher, and a member of Hitler's intimate circle who received royalties from all uses of Hitler's image.","Heinrich Hoffmann was Adolf Hitler's official photographer, a Nazi politician and publisher, and a member of Hitler's intimate circle who received royalties from all uses of Hitler's image.",0,
Yehuda Elkana,2021-09-04T10:14:29Z,2021-09-04T11:10:42Z,"Yehuda Elkana was a historian and philosopher of science, and a former President and Rector of the Central European University in Budapest, Hungary.","Yehuda Elkana was a historian and philosopher of science, and a former President and Rector of the Central European University in Budapest, Hungary.",0,
Space Jam,2021-09-01T01:11:10Z,2021-10-01T07:26:42Z,Space Jam is a 1996 American live-action/animated science fiction sports comedy film directed by Joe Pytka and starring basketball player Michael Jordan.,"Space Jam is a 1996 American live-action/animated science fiction sports comedy film directed by Joe Pytka from a screenplay by Leo Benvenuti, Steve Rudnick, Timothy Harris and Herschel Weingrod.",0,
The Unforgivable,2021-09-15T23:14:13Z,2021-09-30T19:29:17Z,"""The Unforgivable is an upcoming drama film directed by Nora Fingscheidt and written by Peter Craig, Hillary Seitz and Courtenay Miles, based on the 2009 British miniseries Unforgiven written by Sally Wainwright.""","""The Unforgivable is an upcoming drama film directed by Nora Fingscheidt and written by Peter Craig, Hillary Seitz and Courtenay Miles, based on the 2009 British miniseries Unforgiven written by Sally Wainwright.""",0,
Henri Treial,2021-09-02T06:25:17Z,2021-09-02T06:26:03Z,"Henri Treial is an Estonian volleyball player, a member of the Estonia men's national volleyball team and French club Saint-Nazaire Volley-Ball.","Henri Treial is an Estonian volleyball player, a member of the Estonia men's national volleyball team and Belgian club Greenyard Maaseik.",1,
Philip Mandie,2021-09-08T02:02:57Z,2021-09-08T02:05:23Z,Philip Mandie QC was a judge on the Supreme Court of Victoria from May 1994 to August 2012.,Philip Mandie QC was a judge on the Supreme Court of Victoria from May 1994 to August 2012.,0,
Ameer Zaman,2021-09-07T15:41:07Z,2021-09-07T22:22:55Z,"Maulana Ameer Zaman (Urdu: مولانا امیر زمان) was a Pakistani politician who served as Minister for Postal Services, in Abbasi cabinet from August 2017 to May 2018.","Maulana Ameer Zaman (Urdu: مولانا امیر زمان; 1956 – 7 September 2021) was a Pakistani politician who served as Minister for Postal Services, in Abbasi cabinet from August 2017 to May 2018.",0,
Han's Crime,2021-09-16T19:31:03Z,2021-09-23T13:16:37Z,"Han's Crime (Japanese: 范の犯罪, Hepburn: Han no hanzai) is a short story by Japanese writer Naoya Shiga first published in 1913 in the magazine Shirakaba.","Han's Crime (Japanese: 范の犯罪, Hepburn: Han no hanzai) is a short story by Japanese writer Naoya Shiga first published in 1913 in the magazine Shirakaba.",0,
Levantine Arabic,2021-09-01T15:56:43Z,2021-10-01T20:33:30Z,"Levantine Arabic is a sprachbund of vernacular Arabic indigenous to the Levant, spoken by the Arabs in present-day Syria, Lebanon, Jordan, Palestine, Israel, Turkey and Egypt.",Levantine Arabic is a sprachbund of vernacular Arabic indigenous to Arab countries and communities within the Levant.,0,
Betty Pfefferbaum,2021-09-19T00:50:44Z,2021-09-19T20:57:39Z,Dr. Betty Pfefferbaum is a psychiatrist notable for her early work in mental health treatment for children after a disaster.,Betty Pfefferbaum is a psychiatrist known for her early work in mental health treatment for children after a disaster.,0,
Overtaking,2021-09-12T09:08:25Z,2021-09-25T19:52:30Z,"Overtaking or passing is the act of one vehicle going past another slower moving vehicle, travelling in the same direction, on a road.","Overtaking or passing is the act of one vehicle going past another slower moving vehicle, travelling in the same direction, on a road.",0,
Gangan Comics,2021-09-22T00:01:14Z,2021-09-27T13:18:12Z,"Gangan (ガンガン, Gangan) is a manga imprint owned by Square Enix Holdings.","Gangan (ガンガン, Gangan) is a manga imprint owned by Square Enix Holdings.",0,
Une Bastholm,2021-09-14T00:40:59Z,2021-09-25T12:28:17Z,"Une Aina Bastholm is a Norwegian politician and leader of Miljøpartiet De Grønne (Norway's Green party), representing Oslo in Stortinget (the Norwegian legislature) since 2017.","Une Aina Bastholm is a Norwegian politician and leader of Miljøpartiet De Grønne, representing Oslo in Stortinget from 2017 to 2021 and Akershus following the 2021 election.",1,
Norm Macdonald,2021-09-11T07:38:06Z,2021-10-01T21:14:59Z,"Norman Gene Macdonald is a Canadian stand-up comedian, writer, and actor known for his deadpan style.","Norman Gene Macdonald (October 17, 1959 – September 14, 2021) was a Canadian stand-up comedian, writer, and actor, known for his deadpan style, subversive joke-telling, and poetic turns of phrase.",1,
Lyrick Studios,2021-09-07T09:33:50Z,2021-09-26T17:10:19Z,"Lyrick Studios (formerly The Lyons Group in 1988-1992) was an American video production and distribution company based in Allen, a Dallas suburb, known for producing and distributing television shows, home videos, audio products and children's books and toys, particularly for their flagship property Barney & Friends.","Lyrick Studios (formerly The Lyons Group from 1988-1993) was an American video production and distribution company based in Allen, a Dallas suburb.",0,
Feng Yufang,2021-09-14T15:11:09Z,2021-09-14T16:13:54Z,"Feng Yufang is a Chinese engineer, a major general (shaojiang) of the People's Liberation Army (PLA), and an academician of the Chinese Academy of Engineering.","Feng Yufang is a Chinese engineer, a major general (shaojiang) of the People's Liberation Army (PLA), and an academician of the Chinese Academy of Engineering.",0,
A724 road,2021-09-10T19:53:11Z,2021-09-23T02:45:35Z,The A724 road in Scotland runs within South Lanarkshire between Rutherglen and Hamilton.,The A724 road in Scotland runs within South Lanarkshire between Rutherglen and Hamilton.,0,
Arthur Upham Pope,2021-09-09T23:26:53Z,2021-09-20T16:42:18Z,Arthur Upham Pope was an American expert on Iranian art and the editor of the Survey of Persian Art.,"Arthur Upham Pope was an American scholar, art historian, and architecture historian who was an expert on historical Persian art and the editor of the Survey of Persian Art (1939).",1,
Jerry Grcevich,2021-09-11T20:24:09Z,2021-09-25T02:03:42Z,"Jerry Grcevich (Grčević) (1951) is a Croatian American musician, tamburitza virtuoso and composer, and a frontmen of Penn Sembles.","Jerry Grcevich (Grčević) (born 1951) is a Croatian American folk musician, tamburitza virtuoso and composer.",0,
Vadiello,2021-09-30T19:47:27Z,2021-09-30T19:47:59Z,"Vadiello is a locality located in the municipality of Loporzano, in Huesca province, Aragon, Spain.","Vadiello is a locality located in the municipality of Loporzano, in Huesca province, Aragon, Spain.",0,
Hawkeye (Clint Barton),2021-09-02T20:12:55Z,2021-10-01T15:35:47Z,"Hawkeye (Clinton Francis Barton) is a fictional character appearing in American comic books published by Marvel Comics, created by writer Stan Lee and artist Don Heck, who first appeared as a villain in Tales of Suspense #57 (Sept. 1964) and later joined the Avengers in The Avengers #16 (May 1965).",Hawkeye (Clinton Francis Barton) is a fictional character appearing in American comic books published by Marvel Comics.,0,
Carlisle Floyd,2021-09-30T20:24:37Z,2021-10-01T06:40:02Z,"Carlisle Floyd (June 11, 1926-September 30, 2021) was an American opera composer, the son of a Methodist minister who based many of his works on themes from the South.","Carlisle Sessions Floyd (June 11, 1926 – September 30, 2021) was an American opera composer whose best known opera, Susannah (1955), is based on a story from the Biblical Apocrypha, transferred to contemporary, rural Tennessee, and is written for a Southern dialect.",1,
"Mitare, Venezuela",2021-09-19T13:04:42Z,2021-09-26T10:57:26Z,"Mitare is a small town located in northern Falcon State, Venezuela.","Mitare is a community located in northern Falcón state, Venezuela.",0,
Philippe Charles Tronson du Coudray,2021-09-12T15:29:53Z,2021-09-19T14:45:25Z,Philippe Charles Jean Baptiste Tronson du Coudray was a French army officer who volunteered for service in the Continental Army during the American Revolutionary War.,Philippe Charles Jean Baptiste Tronson du Coudray was a French army officer who volunteered for service in the Continental Army during the American Revolutionary War.,0,
Social orphan,2021-09-10T22:52:38Z,2021-09-10T22:54:01Z,"A social orphan is a child with no adults looking after them, even though one or more parents are still alive.","A social orphan is a child with no adults looking after them, even though one or more parents are still alive.",0,
Fares Sayegh,2021-09-28T02:08:05Z,2021-09-28T02:44:37Z,"Fares E. Sayegh is a Greek orthopaedic surgeon at the G. Papanikolaou General Hospital and a professor at Aristotle University of Thessaloniki, both in Thessaloniki, Greece.","Fares E. Sayegh is a Greek orthopaedic surgeon at the G. Papanikolaou General Hospital and a professor at Aristotle University of Thessaloniki, both in Thessaloniki, Greece.",0,
Django Reinhardt,2021-09-11T22:10:02Z,2021-09-24T22:24:40Z,"Jean Reinhardt (23 January 1910 – 16 May 1953), known by his Romani nickname Django (French:  or ), was a Belgian-born Romani-French jazz guitarist and composer.","Jean Reinhardt (23 January 1910 – 16 May 1953), known by his Romani nickname Django (French: or ), was a Belgian-born Romani-French jazz guitarist and composer.",0,
Claude Montmarquette,2021-09-17T03:28:25Z,2021-09-20T01:41:23Z,Claude Montmarquette was a Canadian economist who taught at the Université de Montréal for several decades.,Claude Montmarquette CM (20 December 1942 – 8 September 2021) was a Canadian economist.,0,
Jean-Paul Belmondo,2021-09-06T14:27:02Z,2021-09-27T23:30:55Z,"Jean-Paul Belmondo (French: ; born 9 April 1933) was a French actor initially associated with the New Wave of the 1960s and one of the biggest French film stars of the 1960s, 1970s and 1980s.","Jean-Paul Charles Belmondo (French pronunciation: ​; 9 April 1933 – 6 September 2021) was a French actor, initially associated with the New Wave of the 1960s and a major French film star for several decades from the 1960s.",1,
Arthur Octavius Kitson,2021-09-26T20:55:55Z,2021-09-27T10:50:09Z,"Arthur Octavius Kitson (19 April 1848, Leeds – 25 February 1915, Groombridge) was the British husband involved in the famous legal case Kitson v. Playfair and is known for his 1907 biography of Captain James Cook.","Arthur Octavius Kitson (19 April 1848, Leeds – 25 February 1915, Groombridge) was the British husband involved in the famous legal case Kitson v. Playfair.",0,
Wing,2021-09-14T18:11:14Z,2021-09-14T18:13:22Z,A wing is a type of whale that produces lift while moving through air or some other fluid.,A wing is a type of fin that produces lift while moving through air or some other fluid.,0,
Regitze Barner,2021-09-13T15:47:30Z,2021-09-14T15:31:49Z,"Regitze Vilhelmine Louise Augusta Barner was a Danish noblewoman, philanthropist and writer who is remembered for her efforts to facilitate conditions and opportunities for women, both young and old.","Regitze Vilhelmine Louise Augusta Barner (1834–1911) was a Danish noblewoman, philanthropist and writer who is remembered for her efforts to facilitate conditions and opportunities for women, both young and old.",0,
Nordic Council of the Deaf,2021-09-10T18:54:09Z,2021-09-10T20:13:46Z,The Nordic Council of the Deaf is a non-partisan and non-religious association whose mission is to work and raise awareness of the linguistic and cultural interests of the deaf in the Nordic countries.,The Nordic Council of the Deaf is a non-partisan and non-religious association whose mission is to work and raise awareness of the linguistic and cultural interests of the deaf in the Nordic countries.,0,
Nikolay Korobov,2021-09-03T18:08:38Z,2021-09-12T17:30:48Z,Nikolai Mikhailovich Korobov was a Soviet mathematician specializing in number theory and numerical analysis.,Nikolai Mikhailovich Korobov (Russian: Коробов Николай Михайлович; November 23 1917 – October 25 2004) was a Soviet mathematician specializing in number theory and numerical analysis.,0,
Waguinho Dias,2021-09-15T23:31:24Z,2021-09-17T15:06:05Z,"Wagner Santos de Souza Dias (born 23 July 1973), known as Waguinho Dias or simply Waguinho, is a Brazilian football manager and former player who played as a midfielder.",Wagner Santos de Souza Dias is a Brazilian football manager and former player who played as a midfielder.,0,
Roman Anin,2021-09-09T01:53:52Z,2021-09-24T20:45:17Z,"Roman Aleksandrovich Anin (Russian: Роман Александрович Анин; born December 16, 1986) is a Russian investigative journalist.","Roman Aleksandrovich Anin is a Russian investigative journalist and one of the founders of the independent Important Stories outlet, who was involved in the investigation of the Panama Papers.",1,
Snatch (film),2021-09-04T01:11:05Z,2021-09-29T22:29:17Z,"Snatch is a 2000 British-American crime comedy film written and directed by Guy Ritchie, set in the London criminal underworld and featuring an ensemble cast.","Snatch is a 2000 British-American crime comedy film written and directed by Guy Ritchie, featuring an ensemble cast and set in the London criminal underworld, with two intertwined plots dealing with the search for a stolen diamond and a small-time boxing promoter.",0,
Siberia,2021-09-11T02:30:02Z,2021-09-27T15:34:18Z,"Siberia (/saɪˈbɪəriə/; Russian: Сибирь, tr. Sibir', IPA: (listen)) is an extensive geographical region in Eastern Europe and North Asia.","Siberia (/saɪˈbɪəriə/; Russian: Сибирь, tr. Sibir', IPA: (listen)) is an extensive geographical region, constituting all of North Asia, from the Ural Mountains in the west to the Pacific Ocean in the east.",1,
Nilofer S. Azad,2021-09-22T04:19:31Z,2021-09-25T10:36:44Z,"Nilofer S. Azad is an American oncologist specialized in gastrointestinal, colorectal, cholangiocarcinoma, and pancreaticobiliary cancers.","Nilofer Saba Azad is an American oncologist and physician-scientist specialized in gastrointestinal, colorectal, cholangiocarcinoma, and pancreaticobiliary cancers.",0,
Allie Sherlock,2021-09-09T15:44:29Z,2021-09-28T15:03:31Z,"Allie Sherlock (born 7 April 2005) is an Irish singer, songwriter, guitarist and busker.","Allie Sherlock is an Irish singer, guitarist, songwriter, and busker.",0,
Prithvi Narayan Shah,2021-09-13T04:06:42Z,2021-09-29T02:44:26Z,Maharajadhiraj Prithivi Narayan Shah (1723–1775; Nepali: पृथ्वीनारायण शाह) was the last ruler of the Gorkha Kingdom and first monarch of Kingdom of Nepal (also called Kingdom of Gorkha).,Maharajadhiraj Prithivi Narayan Shah (1723–1775; Nepali: पृथ्वीनारायण शाह) was the last ruler of the Gorkha Kingdom and first monarch of Kingdom of Nepal (also called Kingdom of Gorkha).,0,
Frederick Bovenschen,2021-09-08T03:44:08Z,2021-09-09T09:02:40Z,Sir Frederick Carl Bovenschen was a British civil servant who was Joint Permanent Under-Secretary of State for War from 1942 to 1945.,Sir Frederick Carl Bovenschen was a British civil servant and was Joint Permanent Under-Secretary of State for War from 1942 to 1945.,0,
Rutherglen Football Club (1893),2021-09-02T09:35:56Z,2021-09-28T01:58:04Z,"The Rutherglen Football Club was an Australian rules football club based in Rutherglen, Victoria, being a founding member of the Ovens & Murray Football League in 1893.","The Rutherglen Football Club was an Australian rules football club based in Rutherglen, Victoria, being a founding member of the Ovens & Murray Football League in 1893.",0,
Andrea Grottoli,2021-09-11T21:48:55Z,2021-09-28T17:36:57Z,"Andréa Geneviève Grottoli is a Canadian biologist, Professor of Earth Sciences at the Ohio State University, Fellow of the American Association for the Advancement of Science, 2021 American Geophysical Union Rachel Carson Lecturer, and President of the International Coral Reef Society.","Andréa Geneviève Grottoli is a Canadian biologist who is Professor of Earth Sciences at the Ohio State University, a Fellow of the American Association for the Advancement of Science, the 2021 American Geophysical Union Rachel Carson Lecturer, and President of the International Coral Reef Society.",0,
Carl Michael Bellman,2021-09-05T11:12:58Z,2021-09-15T09:50:25Z,"Carl Michael Bellman was a Swedish songwriter, composer, musician, poet and entertainer who has been compared to Shakespeare, Beethoven, Mozart, and Hogarth.","Carl Michael Bellman was a Swedish songwriter, composer, musician, poet and entertainer who is a central figure in the Swedish song tradition and remains a powerful influence in Swedish music, as well as in Scandinavian literature.",0,
Fernando Mario Chávez Ruvalcaba,2021-09-19T04:45:36Z,2021-09-20T11:30:07Z,Fernando Mario Chávez Ruvalcaba was a Mexican Roman Catholic prelate who was bishop of Zacatecas from 1999 to 2008 and died due to complications of COVID-19.,Fernando Mario Chávez Ruvalcaba was a Mexican Roman Catholic prelate.,0,
T. P. Padmanabhan Nair,2021-09-14T09:01:23Z,2021-09-16T13:58:03Z,"T. P. Padmanabhan Nair popularly known as T. P. P. Nair was a volleyball player, former captain and coach of Indian National Volleyball Team.","T. P. Padmanabhan Nair was a volleyball player, former captain and coach of Indian National Volleyball Team, and was the first Malayali to become the captain of the national volleyball team, for which he received the Dhyan Chand Award in 2015.",1,
Zagreb Marathon,2021-09-02T11:43:53Z,2021-09-07T19:35:28Z,"The Zagreb Marathon is an annual marathon held in November in Zagreb, Croatia, which includes a marathon race, half marathon and 10K run that starts one hour earlier.","The Zagreb Marathon (Croatian: Zagrebački maraton) is an annual marathon held in November in Zagreb, Croatia.",0,
Master and Commander,2021-09-30T05:59:42Z,2021-09-30T06:00:51Z,The novel Master and Commander by Patrick O'Brian is set at the turn of the 19th century and is the start of the 20-novel Aubrey–Maturin series set in the era of the Napoleonic Wars.,"Master and Commander is a nautical historical novel by the English author Patrick O'Brian, first published in 1969 in the US and 1970 in UK.",0,
Jean-Pierre Adams,2021-09-06T09:28:24Z,2021-09-21T10:23:35Z,Jean-Pierre Adams (10 March 1948 – 6 September 2021) was a French former professional footballer who played as a centre-back.,Jean-Pierre Adams (10 March 1948 – 6 September 2021) was a French professional footballer who played as a centre-back.,0,
Park Place Gallery,2021-09-14T15:18:56Z,2021-09-22T10:07:26Z,"Park Place Gallery was a contemporary art gallery located in SoHo in Lower Manhattan, New York City, United States, during the mid-to-late 1960s.","The Park Place Gallery was a contemporary cooperative art gallery located in New York City, notable for its location and for supporting a group of artists working with geometric abstraction and space, and thought of as being the first gallery of the 1960s in that area of Lower Manhattan.",1,
Nina H. Kennard,2021-09-21T12:13:06Z,2021-09-26T22:14:16Z,"Annie ""Nina"" née Homan-Mulock Kennard (1844 - 1926) was an author.","Annie ""Nina"" née Homan-Mulock Kennard (1844 - 1926) was an author.",0,
Andreas Sjalg Unneland,2021-09-30T21:06:05Z,2021-09-30T21:46:02Z,"Andreas Sjalg Unneland is a Norwegian politician who is a member of the Storting from 2021, representing the Socialist Left Party, elected from the constituency of Oslo.","Andreas Sjalg Unneland is a Norwegian politician who is a member of the Storting from 2021, representing the Socialist Left Party, elected from the constituency of Oslo.",0,
Gabriel Slonina,2021-09-19T17:35:11Z,2021-09-30T00:47:28Z,Gabriel Slonina is an American professional soccer player who plays as a goalkeeper for Major League Soccer club Chicago Fire.,Gabriel Slonina is an American professional soccer player who plays as a goalkeeper for Major League Soccer club Chicago Fire.,0,
Teresa Żylis-Gara,2021-09-01T16:02:36Z,2021-09-24T17:48:46Z,Teresa Żylis-Gara was a Polish operatic soprano who enjoyed a major international career from the 1950s through the 1990s.,Teresa Żylis-Gara was a Polish operatic soprano who enjoyed a major international career from the 1950s through the 1990s.,0,
Albanian language,2021-09-06T21:24:38Z,2021-10-01T13:54:41Z,"Albanian is an Indo-European language spoken by the Albanians in the Balkans and the Albanian diaspora in the Americas, Europe and Oceania.","Albanian (endonym: shqip or gjuha shqipe ) is an Indo-European language spoken by the Albanians in the Balkans and the Albanian diaspora in the Americas, Europe and Oceania.",0,
Ernest Rivett-Carnac,2021-09-12T17:33:28Z,2021-09-12T20:47:42Z,Ernest Henry Rivett-Carnac was an English first-class cricketer and British Army officer.,Ernest Henry Rivett-Carnac was an English first-class cricketer and an officer in both the British Army and later British Indian Army.,1,
Helen Beaglehole,2021-09-21T04:41:22Z,2021-09-21T23:43:50Z,"Helen Elizabeth Beaglehole is a New Zealand writer, editor and historian known for her children's books and historical books about New Zealand's lighthouses and rural fire-fighting.","Helen Elizabeth Beaglehole is a New Zealand writer, editor and historian known for her children's books and historical books about New Zealand's lighthouses and rural fire-fighting.",0,
The Last Voyage,2021-09-09T14:03:06Z,2021-09-10T03:04:38Z,The Last Voyage is a 1960 Metrocolor American disaster film written and directed by Andrew L. Stone.,The Last Voyage is a 1960 Metrocolor American disaster film written and directed by Andrew L. Stone.,0,
Jenna Sudds,2021-09-21T15:16:34Z,2021-09-23T16:01:50Z,"Jenna Sudds is a Canadian politician currently serving as the Member of Parliament for Kanata—Carleton, having been elected for the Liberal Party of Canada in the 2021 Canadian federal election.","Jenna Sudds is a Canadian politician currently serving as the Member of Parliament for Kanata—Carleton, having been elected for the Liberal Party of Canada in the 2021 Canadian federal election.",0,
Piaroa people,2021-09-27T15:45:49Z,2021-09-27T20:19:41Z,The Huottüja or Piaroa are an indigenous ethnic group of the middle Orinoco Basin in present-day Venezuela.,The Huottüja or Piaroa are an indigenous ethnic group of the middle Orinoco Basin in present-day Venezuela.,0,
Hoërskool Marais Viljoen,2021-09-19T07:48:15Z,2021-09-19T07:51:20Z,Marais Viljoen High School (Afrikaans: Hoërskool Marais Viljoen) is a public Afrikaans medium co-educational high school situated in the city of Alberton in the Gauteng province of South Africa.,Hoërskool Marais Viljoen is a public Afrikaans medium co-educational high school situated in the city of Alberton in the Gauteng province of South Africa.,0,
The Burnt Orange Heresy,2021-09-12T05:00:56Z,2021-09-19T07:48:47Z,The Burnt Orange Heresy is a 2019 crime thriller film directed by Giuseppe Capotondi and with a screenplay by Scott Smith.,The Burnt Orange Heresy is a 2019 crime thriller film directed by Giuseppe Capotondi and with a screenplay by Scott Smith.,0,
Kaimanawa Forest Park,2021-09-19T05:14:40Z,2021-09-19T11:43:40Z,"Kaimanawa Forest Park is a protected area south of Lake Taupo and east of Mount Tongariro in the Taupo Volcanic Zone, situated in the Rangitikei District and Manawatū-Whanganui Region of New Zealand's South Island, managed by the New Zealand Department of Conservation.","Kaimanawa Forest Park is a protected area south of Lake Taupo and east of Mount Tongariro in the Taupo Volcanic Zone, situated in the Rangitikei District and Manawatū-Whanganui Region of New Zealand's South Island, managed by the New Zealand Department of Conservation.",0,
Apollo Global Management,2021-09-02T04:59:29Z,2021-10-01T13:26:49Z,"Apollo Global Management, Inc. , is a global alternative investment manager firm.","Apollo Global Management, Inc. is a global alternative investment management firm that invests in credit, private equity, and real assets.",1,
Yekaterina Dmitrichenko,2021-09-29T22:09:15Z,2021-09-30T09:56:25Z,Yekaterina Dmitrichenko (born 16 October 2001) is a Kazakhstani tennis player.,Yekaterina Dmitrichenko (born 16 October 2001) is a Kazakhstani tennis player.,0,
Kaadan,2021-09-02T18:18:24Z,2021-10-01T14:26:45Z,"Kaadan (transl. Forester) in Tamil, Aranya (transl. Jungle) in Telugu, and Haathi Mere Saathi in Hindi (transl. Elephant My Companion) are translations of the same movie title.","Kaadan (transl. Forester) in Tamil, Aranya (transl. Jungle) in Telugu, and Haathi Mere Saathi in Hindi (transl. Elephant My Companion) are translations of the same film.",0,
Institute of National Remembrance,2021-09-17T17:21:13Z,2021-09-27T11:53:57Z,The Institute of National Remembrance – Commission for the Prosecution of Crimes against the Polish Nation is a Polish state research institute in charge of education and archives with investigative and lustration powers.,The Institute of National Remembrance – Commission for the Prosecution of Crimes against the Polish Nation is a Polish state research institute in charge of education and archives with investigative and lustration powers.,0,
Morenada,2021-09-03T11:59:57Z,2021-09-24T11:33:26Z,"The Morenada is a Bolivian folk dance whose origin is discussed in three regions of Bolivia; La Paz, Oruro and Potosí, and is practiced in Bolivia, Peru, Chile, Argentina and other countries, being one of the most representative dances of Bolivian culture.","The Morenada is a folk dance whose origin is discussed in three regions of Bolivia: La Paz, Oruro and Potosí, and is practiced in Bolivia, Peru, Chile, Argentina and other countries, being one of the most representative dances of Bolivian culture.",0,
Samsung Galaxy J series,2021-09-12T23:04:21Z,2021-09-25T01:15:49Z,"The Samsung Galaxy J series is a discontinued line (but continued in software update) entry-level Android mobile produced by the South Korean company Samsung Electronics, first introduced in 2015.","The Samsung Galaxy J series is a discontinued line (but continued in software update) entry-level Android mobile produced by the South Korean company Samsung Electronics, first introduced in 2015.",0,
Charles de Gaulle,2021-09-09T00:17:43Z,2021-09-26T18:13:15Z,Charles de Gaulle led Free France against Nazi Germany in World War II and founded the Fifth Republic after approval by referendum.,Charles de Gaulle was a French army officer and statesman who led Free France against Nazi Germany in World War II.,1,
Juanita Guccione,2021-09-23T15:46:48Z,2021-09-23T20:26:17Z,Juanita Rice Marbrook Guccione (née Anita Rice; 1904–1999) was an American painter.,Juanita Rice Marbrook Guccione (née Anita Rice; 1904–1999) was an American painter and taxidermist.,1,
Out to Sea,2021-09-04T14:41:06Z,2021-09-28T17:26:02Z,Out to Sea is a 1997 American romantic comedy film directed by Martha Coolidge and written by Robert Nelson Jacobs.,Out to Sea is a 1997 American romantic comedy film directed by Martha Coolidge and written by Robert Nelson Jacobs.,0,
Achutha Kurup,2021-09-28T06:31:43Z,2021-09-28T07:00:14Z,Achutha Kurup was an Indian volleyball player and former coach of the India national volleyball team.,Achutha Kurup was an Indian volleyball player and former coach of the India national volleyball team.,0,
"Enginalan, Iğdır",2021-09-07T11:38:08Z,2021-09-22T06:38:57Z,"Enginalan (Armenian: Բլուր, romanized: Blur) is a köy (village) in the Iğdır central district of Iğdır Province, Turkey which means mound in the Armenian Language.","Enginalan (Kurdish: Pilûr, Armenian: Բլուր, romanized: Blur) is a köy (village) in the Iğdır central district of Iğdır Province, Turkey.",0,
Thierry Choffat,2021-09-09T05:16:16Z,2021-09-09T16:55:14Z,"Thierry Choffat was a French political scientist specializing in syndicalism, the far right, the far left, and Bonapartism.","Thierry Choffat (19 May 1968 – 6 September 2021) was a French political scientist who specialized in syndicalism, the far right, the far left, and Bonapartism.",0,
Anne Hidalgo,2021-09-03T11:29:08Z,2021-09-28T11:41:55Z,"Ana María ""Anne"" Hidalgo Aleu is a Spanish-French politician serving as Mayor of Paris since 2014.","Ana María ""Anne"" Hidalgo Aleu is a Spanish-French politician who has served as Mayor of Paris since 2014 and is the first woman to hold the office.",1,
Karan Armstrong,2021-09-29T14:38:40Z,2021-10-01T22:27:28Z,"Karan Armstrong is an American operatic soprano, celebrated as a singing-actress.","Karan Armstrong (December 14, 1941 – September 28, 2021) was an American operatic soprano, who was celebrated as a singing actress.",1,
Thin Lizzy,2021-09-03T09:49:20Z,2021-09-25T08:36:03Z,"Thin Lizzy are a hard rock band formed in Dublin, Ireland in 1969.","Thin Lizzy are a hard rock band formed in Dublin, Ireland, in 1969.",0,
Vladyslav Zahrebelnyi,2021-09-02T04:39:32Z,2021-09-25T12:33:10Z,Vladyslav Zahrebelnyi is a Ukrainian para-athlete who specializes in long jump.,Vladyslav Zahrebelnyi is a Ukrainian para-athlete who specializes in long jump and represents Ukraine at elite international competitions.,0,
Lieutenant Governor of Quebec,2021-09-15T14:57:13Z,2021-09-26T09:55:58Z,"The lieutenant governor of Quebec is the viceregal representative in Quebec of the Canadian monarch, King Charles III, who operates distinctly within the province.","The lieutenant governor of Quebec is the viceregal representative in Quebec of the Canadian monarch, King Charles III.",0,
Puss in Boots,2021-09-10T00:29:45Z,2021-09-13T09:16:33Z,"""Puss in Boots"" is an Italian and later European literary fairy tale about an anthropomorphic cat who uses trickery and deceit to gain power, wealth, and the hand of a princess in marriage for his penniless and low-born master.","""Master Cat or the Booted Cat"" (Italian: Il gatto con gli stivali; French: Le Maître chat ou le Chat botté), commonly known in English as ""Puss in Boots"", is an Italian and later European literary fairy tale about an anthropomorphic cat who uses trickery and deceit to gain power, wealth, and the hand of a princess in marriage for his penniless and low-born master. T",0,
