title,timestamp_first,timestamp_end,def_first,def_last,label
"Bellingham, Washington",2021-11-05T07:16:02Z,2021-11-30T00:47:42Z," Bellingham (/ˈbɛlɪŋhæm/ BEL-ing-ham) is the most populous city in, and county seat of Whatcom County in the U. S. state of Washington."," Bellingham (/ˈbɛlɪŋhæm/ BEL-ing-ham) is the most populous city in, and county seat of Whatcom County in the U. S. state of Washington.",0
Zapyrastra calliphana,2021-11-08T00:27:43Z,2021-11-09T00:17:15Z,Zapyrastra calliphana is a species of moth of the family Momphidae first described by Edward Meyrick in 1889.,Zapyrastra calliphana is a species of moth of the family Momphidae.,0
Dokkiri Doctor,2021-11-10T14:31:16Z,2021-11-10T14:39:54Z," Dokkiri Doctor (Japanese: どっきりドクター, Hepburn: Dokkiri Dokutā) is a Japanese manga series written and illustrated by Fujihiko Hosono, serialized in Shogakukan's Weekly Shōnen Sunday from March 1981 to February 1982, with its chapters collected in four tankōbon volumes."," Dokkiri Doctor (Japanese: どっきりドクター, Hepburn: Dokkiri Dokutā) is a Japanese manga series written and illustrated by Fujihiko Hosono.",0
Igor Denisov,2021-11-21T00:05:04Z,2021-11-28T00:25:16Z,Igor Vladimirovich Denisov (Russian: Игорь Владимирович Денисов; born 17 May 1984) is a Russian former professional footballer who played as a midfielder.,Igor Vladimirovich Denisov (Russian: Игорь Владимирович Денисов; born 17 May 1984) is a Russian former professional footballer who played as a midfielder.,0
Italian diaspora,2021-11-02T22:04:09Z,2021-11-25T14:49:56Z,The Italian diaspora is the large-scale emigration of Italians from Italy.,The Italian diaspora is the large-scale emigration of Italians from Italy.,0
Amelia Tonon,2021-11-05T23:13:52Z,2021-11-09T11:07:32Z,Amelia Tonon (1899-1961) was an Italian entomologist.," Amelia Tonon (1899–1961) was an Italian entomologist who researched silkworms, their eggs and crossbreeding them.",1
Kindred of the East,2021-11-03T05:12:17Z,2021-11-26T03:10:17Z," Kindred of the East is a tabletop role-playing game sourcebook and game line released by White Wolf Publishing in February 1998 for use with the horror game Vampire: The Masquerade, and is part of the World of Darkness series.",Kindred of the East is a tabletop role-playing game sourcebook and game line released by White Wolf Publishing in February 1998 for use with their horror game Vampire: The Masquerade.,0
Dianna Agron,2021-11-01T03:48:14Z,2021-11-30T12:49:57Z,"Dianna Elise Agron (/ˈeɪ. ɡrɒn/ AY-gron listen (help·info); born April 30, 1986) is an American actress, singer, dancer, and director.","Dianna Elise Agron (/ˈeɪ. ɡrɒn/ AY-gron listen (help·info); born April 30, 1986) is an American actress, singer, dancer, and director.",0
Hierodoris callispora,2021-11-12T06:45:20Z,2021-11-12T20:01:44Z,Hierodoris callispora is a moth of the family Oecophoridae.,Hierodoris callispora is a moth of the family Oecophoridae.,0
Primaggio Mantovi,2021-11-07T20:38:49Z,2021-11-22T18:00:48Z," Primaggio Mantovi (born San Vito dei Normanni, January 18th, 1945) is an Italian-born Brazilian comics artist."," Primaggio Mantovi (born San Vito dei Normanni, January 18th, 1945) is an Italian-born Brazilian comics artist.",0
Laabam,2021-11-06T08:41:16Z,2021-11-30T23:57:36Z,Laabam (transl.  Profit) is a 2021 Indian Tamil-language action drama film written and directed by S. P. Jananathan.,Laabam (transl.  Profit) is a 2021 Indian Tamil-language action drama film written and directed by S. P. Jananathan.,0
Eliot Engel,2021-11-02T14:45:39Z,2021-11-03T19:29:37Z," Eliot Lance Engel (/ˈɛŋɡəl/; born February 18, 1947) is an American politician who served as a U. S. representative from New York from 1989 to 2021."," Eliot Lance Engel (/ˈɛŋɡəl/; born February 18, 1947) is an American politician who served as a U. S. representative from New York from 1989 to 2021.",0
Koray Caliskan,2021-11-02T09:03:20Z,2021-11-19T22:00:11Z," Koray Caliskan is an economic sociologist, Associate Professor of Strategic Design and Management at Parsons School of Design, The New School and Associate Editor of the Journal of Cultural Economy."," Koray Caliskan is an economic sociologist, Associate Professor of Strategic Design and Management at Parsons School of Design, The New School and Associate Editor of the Journal of Cultural Economy.",0
Pasteur Institute,2021-11-04T20:30:47Z,2021-11-15T22:59:54Z," The Pasteur Institute (French: Institut Pasteur) is a French non-profit private foundation dedicated to the study of biology, micro-organisms, diseases, and vaccines."," The Pasteur Institute (French: Institut Pasteur) is a French non-profit private foundation dedicated to the study of biology, micro-organisms, diseases, and vaccines.",0
Mark Kelly,2021-11-04T23:17:19Z,2021-11-29T16:51:50Z," Mark Edward Kelly (born February 21, 1964) is an American politician, businessman, retired astronaut for NASA, and retired U. S. Navy captain serving as the junior United States Senator from Arizona since 2020."," Mark Edward Kelly (born February 21, 1964) is an American politician, businessman, retired astronaut for NASA, and retired U. S. Navy captain serving as the junior United States senator from Arizona since 2020.",0
Superman logo,2021-11-02T08:01:41Z,2021-11-04T03:30:08Z," The Superman shield, also known as the Superman logo, is the iconic emblem for the fictional DC Comics superhero Superman."," The Superman shield, also known as the Superman logo, is the iconic emblem for the fictional DC Comics superhero Superman.",0
Hierodoris stellata,2021-11-16T03:54:24Z,2021-11-16T05:19:03Z,Hierodoris stellata is a species of moth in the family Plutellidae.,Hierodoris stellata is a species of moth in the family Plutellidae.,0
The Last Duel (2021 film),2021-11-01T00:03:22Z,2021-12-01T16:14:48Z," The Last Duel is a 2021 epic historical drama film directed by Ridley Scott from a screenplay by Nicole Holofcener, Ben Affleck, and Matt Damon, based on the 2004 book The Last Duel: A True Story of Trial by Combat in Medieval France by Eric Jager."," The Last Duel is a 2021 epic historical drama film directed by Ridley Scott from a screenplay by Nicole Holofcener, Ben Affleck, and Matt Damon, based on the 2004 book The Last Duel: A True Story of Trial by Combat in Medieval France by Eric Jager.",0
Nathan Peabody Ames,2021-11-11T17:00:32Z,2021-11-20T01:28:04Z,"Nathan Peabody Ames (September 1, 1803 – April 3, 1847) is/was a manufacturer."," Nathan Peabody Ames (September 1, 1803 – April 3, 1847) was an American manufacturer and entrepreneur.",1
Hugh J. Glenn,2021-11-05T21:54:11Z,2021-11-28T02:44:08Z," Hugh James Glenn (September 18, 1824 – February 17, 1883) was a prominent 19th-century physician, farmer and politician in California."," Hugh James Glenn (September 18, 1824 – February 17, 1883) was a prominent 19th-century physician, stockman, wheat farmer and politician in California.",1
Francis Wang Xueming,2021-11-15T07:06:09Z,2021-11-15T07:14:45Z,"Francis Wang Xueming (simplified Chinese: 王学明; traditional Chinese: 王學明; pinyin: Wang Xueming; October 4, 1910 – February 10, 1997) was a Chinese Catholic priest and Archbishop of the Roman Catholic Archdiocese of Suiyuan between 1951 and 1997.","Francis Wang Xueming (simplified Chinese: 王学明; traditional Chinese: 王學明; pinyin: Wang Xueming; October 4, 1910 – February 10, 1997) was a Chinese Catholic priest and Archbishop of the Roman Catholic Archdiocese of Suiyuan between 1951 and 1997.",0
Freetown,2021-11-06T16:23:39Z,2021-12-01T21:50:33Z,Freetown is the capital and largest city of Sierra Leone.,Freetown is the capital and largest city of Sierra Leone.,0
Wenceslao Alpuche,2021-11-10T15:01:15Z,2021-11-10T15:19:51Z,"Wenceslao Alpuche (September 28, 1804 – September 2, 1841) is/was a poet."," Wenceslao Alpuche y Gorozica (September 28, 1804 – September 2, 1841) was a Mexican poet and politician.",1
Samuel Levi Jones,2021-11-28T08:42:36Z,2021-11-28T09:50:38Z," Samuel Levi Jones (born 1978) is an American artist, he is known for his paintings and assemblage art."," Samuel Levi Jones (born 1978) is an American artist, he is known for his paintings and assemblage art.",0
JPMorgan Chase,2021-11-02T20:06:53Z,2021-11-30T23:58:59Z,JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City.,JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City.,0
Ethereum,2021-11-02T13:28:15Z,2021-11-28T04:34:41Z," Ethereum is a decentralized, open-source blockchain with smart contract functionality."," Ethereum is a decentralized, open-source blockchain with smart contract functionality.",0
Dhanteras,2021-11-01T09:55:16Z,2021-12-01T10:24:36Z," Dhanteras (Hindi: धनतेरस), also known as Dhanatrayodashi (Sanskrit: धनत्रयोदशी), is the first day that marks the festival of Diwali in India.","Dhanteras (Hindi: धनतेरस), also known as Dhanatrayodashi (Sanskrit: धनत्रयोदशी), is the first day that marks the festival of Diwali in India.",0
Metroid Dread,2021-11-02T19:01:09Z,2021-11-30T13:15:46Z," Metroid Dread is an action-adventure game developed by MercurySteam and Nintendo EPD, released on October 8, 2021, for the Nintendo Switch."," Metroid Dread is an action-adventure game developed by MercurySteam and Nintendo EPD, released on October 8, 2021, for the Nintendo Switch.",0
Toulouse Olympique,2021-11-05T07:26:11Z,2021-11-26T23:29:41Z," Toulouse Olympique or TO XIII is a professional rugby league club in Toulouse, south-west France."," Toulouse Olympique or TO XIII is a professional rugby league club in Toulouse, south-west France.",0
Elise Bartlett,2021-11-29T22:38:11Z,2021-11-30T17:58:54Z," Elise Bartlett (born Elise Bartlett Porter; October 5, 1897 – May 22, 1947), was an American actress who born into a rich and aristocratic family."," Elise Bartlett (born Elise Bartlett Porter; October 5, 1897 – May 22, 1947) was an American actress who appeared in numerous stage productions throughout the 1920s and 1930s, as well as several feature films, including the 1929 film Show Boat.",1
Oliver Kostić,2021-11-16T12:44:10Z,2021-11-17T06:36:40Z," Oliver Kostić (Serbian Cyrillic: Оливер Костић; born February 20, 1973) is a Serbian professional basketball coach.",Oliver Kostić (Serbian Cyrillic: Оливер Костић; born 20 February 1973) is a Serbian professional basketball coach.,0
Warren Worthington III,2021-11-05T21:25:23Z,2021-11-27T16:53:48Z," As Archangel: Warren Kenneth Worthington III, originally known as Angel and later as Archangel, is a fictional superhero appearing in American comic books published by Marvel Comics and is a founding member of the X-Men."," As Archangel: Warren Kenneth Worthington III, originally known as Angel and later as Archangel, is a fictional superhero appearing in American comic books published by Marvel Comics and is a founding member of the X-Men.",0
Take On Me,2021-11-14T19:36:58Z,2021-11-30T15:07:57Z," ""Take On Me"" is a song by Norwegian synth-pop band A-ha."," ""Take On Me"" is a song by Norwegian synth-pop band A-ha.",0
Betsy Braddock,2021-11-19T06:35:42Z,2021-11-30T21:00:27Z," Elizabeth ""Betsy"" Braddock is a fictional superhero appearing in American comic books published by Marvel Comics, commonly in association with Captain Britain and the X-Men."," Elizabeth ""Betsy"" Braddock is a fictional superhero appearing in American comic books published by Marvel Comics, commonly in association with Captain Britain and the X-Men.",0
Jesuits,2021-11-08T21:05:49Z,2021-11-18T21:52:23Z," The Society of Jesus (Latin: Societas Iesu; abbreviated SJ), also known as the Jesuits (/ˈdʒɛzjuɪts/; Latin: Iesuitæ), is a religious order of the Catholic Church headquartered in Rome."," The Society of Jesus (Latin: Societas Iesu; abbreviated SJ), also known as the Jesuits (/ˈdʒɛzjuɪts/; Latin: Iesuitæ), is a religious order of the Catholic Church headquartered in Rome.",0
Castiarina simulata,2021-11-29T22:27:29Z,2021-11-29T22:50:04Z,"Castiarina simulata is a species of beetle in the jewel beetle family, Buprestidae, found in Australia. I","Castiarina simulata is a species of beetle in the jewel beetle family, Buprestidae, found in Western Australia, South Australia and Victoria",1
Cedric Robinson,2021-11-13T04:49:13Z,2021-11-13T21:19:11Z," Cedric Robinson (November 5, 1940 – June 5, 2016) was an American professor in the Department of Black Studies and the Department of Political Science at the University of California, Santa Barbara (UCSB)."," Cedric James Robinson (November 5, 1940 – June 5, 2016) was an American professor in the Department of Black Studies and the Department of Political Science at the University of California, Santa Barbara (UCSB).",0
Michael Bennet,2021-11-05T16:38:29Z,2021-11-22T15:27:20Z," Michael Farrand Bennet (born November 28, 1964) is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009."," Michael Farrand Bennet (born November 28, 1964) is an American businessman, lawyer, and politician serving as the senior United States senator from Colorado, a seat he has held since 2009.",0
Hugo Boisvert,2021-11-10T19:21:35Z,2021-11-10T19:23:47Z,Hugo Boisvert is a Canadian ice hockey coach and retired center who was a two-time All-American for Ohio State.,Hugo Boisvert is a Canadian ice hockey coach and retired center who was a two-time All-American for Ohio State.,0
Young Dolph,2021-11-06T11:37:28Z,2021-12-01T01:13:18Z," Adolph Robert Thornton, Jr. (born July 27, 1985), better known by his stage name Young Dolph, is an American rapper."," Adolph Robert Thornton Jr. (July 27, 1985 – November 17, 2021), better known by his stage name Young Dolph, was an American rapper.",1
Akothee,2021-11-10T12:41:31Z,2021-11-22T18:44:39Z," Esther Akoth, popularly known as Akothee, is a Kenyan Musician and businesswoman."," Esther Akoth, popularly known as Akothee, is a Kenyan Musician and businesswoman.",0
Johnny Mnemonic (film),2021-11-20T14:33:07Z,2021-11-20T14:54:06Z,Johnny Mnemonic is a 1995 cyberpunk action thriller film directed by Robert Longo in his directorial debut.,Johnny Mnemonic is a 1995 cyberpunk action thriller film directed by Robert Longo in his directorial debut.,0
Marie-Claude Tjibaou,2021-11-05T11:01:30Z,2021-11-05T11:02:10Z," Marie-Claude Tjibaou is a former medal-winning athlete, Kanak activist and politician, and widow of the independence movement leader in New Caledonia, Jean-Marie Tjibaou.","Marie-Claude Tjibaou is a former medal-winning athlete, Kanak activist and politician, and widow of the independence movement leader in New Caledonia Jean-Marie Tjibaou.",0
Monsoon,2021-11-17T00:32:37Z,2021-11-26T09:56:04Z," A monsoon (/mɒnˈsuːn/) is traditionally a seasonal reversing wind accompanied by corresponding changes in precipitation, but is now used to describe seasonal changes in atmospheric circulation and precipitation associated with annual latitudinal oscillation of the Intertropical Convergence Zone between its limits to the north and south of the equator."," A monsoon (/mɒnˈsuːn/) is traditionally a seasonal reversing wind accompanied by corresponding changes in precipitation, but is now used to describe seasonal changes in atmospheric circulation and precipitation associated with annual latitudinal oscillation of the Intertropical Convergence Zone between its limits to the north and south of the equator.",0
Mohammad Hossein Mohammadian,2021-11-11T00:59:22Z,2021-11-30T23:09:45Z," Mohammad Hossein Mohammadian (Persian: محمدحسین محمدیان, born August 19, 1992 in Sari) is an Iranian freestyle wrestler who competes at 97 kilograms."," Mohammad Hossein Mohammadian (Persian: محمدحسین محمدیان, born August 19, 1992 in Sari) is an Iranian freestyle wrestler who competes at 97 kilograms.",0
Gruen (TV series),2021-11-04T01:47:50Z,2021-12-01T12:21:13Z," Gruen (previously known as The Gruen Transfer) is an Australian television program focusing on advertising, which debuted on the ABC on 28 May 2008."," Gruen (previously known as The Gruen Transfer) is an Australian television program focusing on advertising, which debuted on the ABC on 28 May 2008.",0
Kateryna Kryva,2021-11-20T18:09:40Z,2021-11-23T09:00:05Z,Kateryna Kryva is a Ukrainian karateka.,Kateryna Kryva (Ukrainian: Катерина Крива; born 6 February 1992) is a Ukrainian karateka.,0
LaTocha Scott,2021-11-08T09:17:07Z,2021-11-09T01:31:55Z," Lakeisha Babe Heart (born May 24, 1990) is an American R&B singer, songwriter, and occasional actress."," LaTocha Scott (born October 2, 1973) is an American R&B singer, songwriter, and occasional actress.",0
Aqua-Aston Hospitality,2021-11-09T19:15:55Z,2021-11-28T19:57:00Z," Aqua-Aston Hospitality (formerly called Aqua Hotels and Resorts) is a Honolulu-based hotel management company operating a multi-branded line of hotels, condominiums and vacation resort properties primarily located in Hawaii."," Aqua-Aston Hospitality, LLC is a Honolulu-based hotel management company operating a multi-branded line of hotels, condominiums and vacation resort properties primarily located in Hawaii.",0
Fourier transform,2021-11-04T18:46:39Z,2021-11-30T16:58:54Z," In mathematics, a Fourier transform (FT) is a mathematical transform that decomposes functions depending on space or time into functions depending on spatial or temporal frequency, such as the expression of a musical chord in terms of the volumes and frequencies of its constituent notes."," In mathematics, a Fourier transform (FT) is a mathematical transform that decomposes functions depending on space or time into functions depending on spatial or temporal frequency, such as the expression of a musical chord in terms of the volumes and frequencies of its constituent notes.",0
Jean-Pierre Schumacher,2021-11-22T17:24:26Z,2021-11-26T12:54:16Z," Jean-Pierre Schumacher (1924 - November 21, 2021) was an French trappist monk.",Jean-Pierre Schumacher (15 February 1924 – 21 November 2021) was a French Trappist monk.,1
James Rodríguez,2021-11-02T18:10:16Z,2021-11-29T18:46:15Z,James David Rodríguez Rubio (born 12 July 1991) is a Colombian professional footballer who plays as an attacking midfielder or winger for Qatar Stars League club Al-Rayyan.,James David Rodríguez Rubio (born 12 July 1991) is a Colombian professional footballer who plays as an attacking midfielder or winger for Qatar Stars League club Al-Rayyan and the Colombia national team.,0
Lend Me a Tenor,2021-11-13T23:44:29Z,2021-11-13T23:46:28Z,Lend Me a Tenor is a comedy by Ken Ludwig.,Lend Me a Tenor is a comedy by Ken Ludwig.,0
Pim Fortuyn List,2021-11-09T22:51:36Z,2021-11-11T03:22:32Z," The Pim Fortuyn List (Dutch: Lijst Pim Fortuyn, LPF) was a political party in the Netherlands named after its eponymous founder Pim Fortuyn, a former university professor and political columnist."," The Pim Fortuyn List (Dutch: Lijst Pim Fortuyn, LPF) was a political party in the Netherlands named after its eponymous founder Pim Fortuyn, a former university professor and political columnist.",0
Maxie McFarland,2021-11-12T13:58:55Z,2021-11-12T14:36:36Z," Maxie L. McFarland (also known as Maxie MacFarland), was one of thirteen tier-3 US Government Defense Senior Executives, serving as the Deputy Chief of Staff for Intelligence (G–2) for the U. S. Army's Training and Doctrine Command located at Fort Monroe, Virginia."," Maxie L. McFarland (also known as Maxie MacFarland), was one of thirteen tier-3 US Government Defense Senior Executives, serving as the Deputy Chief of Staff for Intelligence (G–2) for the U. S. Army's Training and Doctrine Command located at Fort Monroe, Virginia.",0
Iain Rankin,2021-11-01T17:25:59Z,2021-11-30T21:42:42Z," Iain Thomas Rankin (born April 9, 1983) is a Canadian politician who served as the 29th premier of Nova Scotia from February 23, 2021 to August 31, 2021."," Iain Thomas Rankin (born April 9, 1983) is a Canadian politician who served as the 29th premier of Nova Scotia from February 23, 2021 to August 31, 2021.",0
Fajar Setya Jaya,2021-11-12T07:27:43Z,2021-11-19T21:30:23Z," Fajar Setya Jaya (born November 17, 1995) is an Indonesian professional footballer who plays as a goalkeeper for Liga 1 club Persik Kediri."," Fajar Setya Jaya (born November 17, 1995) is an Indonesian professional footballer who plays as a goalkeeper for Liga 1 club Persik Kediri.",0
Dunlin,2021-11-12T10:55:07Z,2021-11-19T14:09:36Z," The dunlin (Calidris alpina) is a small wader, sometimes separated with the other ""stints"" in Erolia."," The dunlin (Calidris alpina) is a small wader, formerly sometimes separated with the other ""stints"" in the genus Erolia.",0
The Enormous Crocodile,2021-11-06T15:59:48Z,2021-11-21T20:19:54Z," The Enormous Crocodile is a 1978 children's story, written by Roald Dahl and illustrated by Quentin Blake."," The Enormous Crocodile is a 1978 children's story, written by Roald Dahl and illustrated by Quentin Blake.",0
Kōji Kakinuma,2021-11-12T17:43:40Z,2021-11-15T18:07:08Z," Kōji Kakinuma (柿沼康二 Kakinuma Kōji, born July 16, 1970) is a Japanese calligrapher.","Kōji Kakinuma (柿沼康二 Kakinuma Kōji, born July 16, 1970) is a Japanese calligrapher.",0
Prichal (ISS module),2021-11-03T05:02:10Z,2021-12-01T07:31:41Z," Nodal module Prichal also known as Uzlovoy Module or UM (Russian: Узловой Модуль ""Причал"", Nodal Module Berth) is a Russian spacecraft which will form part of the International Space Station (ISS)."," Prichal nodal module also known as Uzlovoy Module or UM (Russian: Узловой Модуль ""Причал"", Nodal Module Berth) is a Russian spacecraft which is part of the International Space Station (ISS).",0
Ağbulaq necropolis,2021-11-16T06:29:36Z,2021-11-22T18:41:26Z," Ağbulaq necropolis— is an archeological site of antiquity located in the territory of Shahbuz district of Nakhchivan, Azerbaijan."," Ağbulaq necropolis— is an archeological site of antiquity located in the territory of Shahbuz district of Nakhchivan, Azerbaijan.",0
Katsuga Castle,2021-11-20T02:30:57Z,2021-11-26T23:37:34Z," Katsuga Castle (勝賀城, Katsuga-jō) was a castle structure in Takamatsu, Kagawa Prefecture, Japan."," Katsuga Castle (勝賀城, Katsuga-jō) was a castle structure in Takamatsu, Kagawa Prefecture, Japan.",0
Kohori Kofun Cluster,2021-11-05T08:14:04Z,2021-11-07T12:38:42Z," The Kohori Kofun Cluster (古保利古墳群) is a group of Kofun to early Nara period burial mound located in the Takatsuki neighborhood of the city of Nagahama, Shiga Prefecture in the Kansai region of Japan."," The Kohori Kofun Cluster (古保利古墳群) is a group of Kofun to early Nara period burial mound located in the Takatsuki neighborhood of the city of Nagahama, Shiga Prefecture in the Kansai region of Japan.",0
Kitty Ponse,2021-11-05T02:27:03Z,2021-11-22T18:59:12Z,Kitty Ponse (5 September 1897 – 10 February 1982) was a Swiss zoologist and endocrinologist.,Kitty Ponse (5 September 1897 – 10 February 1982) was a Swiss zoologist and endocrinologist.,0
SpaceX Dragon 2,2021-11-01T12:22:16Z,2021-11-26T04:30:50Z," Dragon 2 is a class of partially reusable spacecraft developed and manufactured by American aerospace manufacturer SpaceX, primarily for flights to the International Space Station (ISS)."," Dragon 2 is a class of partially reusable spacecraft developed and manufactured by American aerospace manufacturer SpaceX, primarily for flights to the International Space Station (ISS).",0
Man from the South,2021-11-16T20:16:38Z,2021-11-16T20:25:38Z," ""Man from the South"" is a short story by Roald Dahl originally published in Collier's in 1948."," ""Man from the South"" is a short story by Roald Dahl originally published in Collier's in 1948.",0
X-23,2021-11-04T01:23:03Z,2021-11-28T14:40:20Z," Laura Kinney (born X-23; codename Wolverine) is a fictional superhero appearing in media published by Marvel Entertainment, most commonly in association with the X-Men."," Laura Kinney (born X-23; codename Wolverine) is a fictional superhero appearing in media published by Marvel Entertainment, most commonly in association with the X-Men.",0
Captain Logan,2021-11-03T22:00:24Z,2021-11-22T07:45:51Z," Captain Logan (c. 1776 – November 25, 1812), also known as Spemica Lawba (""High Horn""), James Logan, or simply Logan, was a Shawnee warrior who lived in what became the U. S. state of Ohio."," Captain Logan (c. 1776 – November 25, 1812), also known as Spemica Lawba (""High Horn""), James Logan, or simply Logan, was a Shawnee warrior who lived in what became the U. S. state of Ohio.",0
Roman Abramovich,2021-11-08T00:29:47Z,2021-12-01T15:44:34Z," Roman Arkadyevich Abramovich (Russian: Роман Аркадьевич Абрамович, pronounced ; Hebrew: רומן אברמוביץ׳; born 24 October 1966 in Saratov) is a Russian-Israeli billionaire businessman and politician."," Roman Arkadyevich Abramovich (Russian: Роман Аркадьевич Абрамович, pronounced ; Hebrew: רומן אברמוביץ׳; born 24 October 1966 in Saratov) is a Russian-Israeli billionaire businessman and politician.",0
James Earl Rudder,2021-11-07T01:13:17Z,2021-11-07T01:45:24Z," James Earl Rudder (May 6, 1910 – March 23, 1970) was a United States Army major general."," James Earl Rudder (May 6, 1910 – March 23, 1970) was a United States Army major general.",0
Raoul Meyer,2021-11-06T04:48:53Z,2021-11-22T16:25:30Z," Raoul Salomon Meyer, born on September 30, 1944 in Villefranche-sur-Saône and died on September 14, 1944 in Neuilly-sur-Seine, was the son-in-law of the head of Galeries Lafayette, Théophile Bader."," Raoul Salomon Meyer, born on 30 June 1892 in Villefranche-sur-Saône and died on 14 June 1970 in Neuilly-sur-Seine, was a French businessman and anti-Nazi resistance fighter who directed the Galeries Lafayette group.",1
Albatros L 56,2021-11-25T21:46:48Z,2021-11-26T00:27:26Z,The Albatros L 56 was an open transport biplane.,The Albatros L 56 was an open transport biplane.,0
Steuben House,2021-11-27T15:48:18Z,2021-12-01T03:31:20Z," The Steuben House, also known as the Zabriskie-Steuben House, is a noted example of Bergen Dutch sandstone architecture, located at New Bridge Landing on the Hackensack River in River Edge, in Bergen County, New Jersey, United States."," The Steuben House is a noted example of Bergen Dutch sandstone architecture, located at New Bridge Landing on the Hackensack River in River Edge, in Bergen County, New Jersey, United States.",0
William S. Haggard,2021-11-23T23:21:51Z,2021-11-24T19:02:13Z,William Selkirk Haggard (17 September 1847 – 6 July 1911) was Lieutenant Governor of Indiana from 1897 to 1901.,William Selkirk Haggard (17 September 1847 – 6 July 1911) was Lieutenant Governor of Indiana from 1897 to 1901.,0
Tudor Butnariu,2021-11-08T19:12:50Z,2021-11-22T13:31:39Z,Tudor Gabriel Butnariu (born 12 March 1995) is a Romanian rugby union football player.,Tudor Gabriel Butnariu (born 12 March 1995) is a Romanian rugby union player.,0
Frances Squire Potter,2021-12-01T14:52:09Z,2021-12-01T15:08:27Z," Frances Boardman Squire Potter (November 12, 1867 – March 25, 1914) was an American academic and activist."," Frances Boardman Squire Potter (November 12, 1867 – March 25, 1914) was an American academic and activist.",0
Ontario Highway 417,2021-11-05T13:25:10Z,2021-11-17T15:56:58Z," Highway 417King's Highway 417, commonly referred to as Highway 417 and the Queensway through Ottawa, is a 400-series highway in the Canadian province of Ontario."," Highway 417King's Highway 417, commonly referred to as Highway 417 and the Queensway through Ottawa, is a 400-series highway in the Canadian province of Ontario.",0
Hamdi Hassan,2021-11-28T21:39:39Z,2021-11-30T06:43:19Z,Hamdi Hassan (Egyptian Arabic: حمدى حسن; 12 August 1956 – 25 November 2021) was an Egyptian politician.,Hamdi Hassan (Egyptian Arabic: حمدى حسن; 12 August 1956 – 25 November 2021) was an Egyptian politician.,0
Operation Tupac,2021-11-19T10:08:11Z,2021-11-26T21:34:09Z,Operation Tupac is the alleged codename of an ongoing military-intelligence contingency program that has been active since the 1980s and run by the Inter-Services Intelligence (ISI) of Pakistan.,Operation Tupac is the alleged codename of an ongoing military-intelligence contingency program that has been active since the 1980s and run by the Inter-Services Intelligence (ISI) of Pakistan.,0
Erinna Lee,2021-11-07T06:05:56Z,2021-12-01T22:48:20Z,"Erinna Lee is a scientist, best known for her work on apoptosis and autophagy.",Erinna Lee is a Singaporean molecular biologist specializing in apoptosis and autophagy.,1
Scooby-Doo! and the Goblin King,2021-11-02T23:16:08Z,2021-11-23T14:55:58Z," Scooby-Doo! and the Goblin King is a 2008 direct-to-video animated comedy horror film, and the twelfth in the series of Scooby-Doo direct-to-video films produced by Warner Bros. Animation (though it used a Hanna-Barbera logo at the end of the film)."," Scooby-Doo! and the Goblin King is a 2008 direct-to-video animated comedy horror film, and the twelfth in the series of Scooby-Doo direct-to-video films produced by Warner Bros. Animation (though it used a Hanna-Barbera logo at the end of the film).",0
Alive! (Kiss album),2021-11-05T04:21:27Z,2021-11-21T03:21:52Z," Alive! is the fourth album overall, and first live album, by American hard rock band Kiss."," Alive! is the fourth album overall, and the first live album, by American hard rock band Kiss.",0
Sciences Po,2021-11-10T07:38:18Z,2021-11-29T20:46:24Z,"The Paris Institute of Political Studies (French: Institut d'études politiques de Paris), commonly referred to as Sciences Po Paris or just Sciences Po (IPA: ), is a grande école and grand établissement located in Paris and other cities in France.","The Paris Institute of Political Studies (French: Institut d'études politiques de Paris), commonly referred to as Sciences Po Paris or just Sciences Po (IPA: ), is a grande école and grand établissement located in Paris and other cities in France.",0
Ainhoa Santamaría,2021-11-13T02:25:51Z,2021-11-24T05:34:31Z," Ainhoa Santamaría (born 1980) is a Spanish film, stage and television actress, known for her performances in television series such as Isabel and Señoras del (h)AMPA."," Ainhoa Santamaría (born 1980) is a Spanish film, stage and television actress, known for her performances in television series such as Isabel and Señoras del (h)AMPA.",0
Kamen Rider (1971 TV series),2021-11-16T20:43:55Z,2021-11-30T01:27:29Z," Kamen Rider (仮面ライダー, Kamen Raidā, Masked Rider) is a tokusatsu superhero television series and weekly science fiction manga created by manga artist Shotaro Ishinomori."," Kamen Rider (仮面ライダー, Kamen Raidā, Masked Rider) is a tokusatsu superhero television series and weekly science fiction manga created by manga artist Shotaro Ishinomori.",0
Johan Rooryck,2021-11-14T14:00:37Z,2021-11-29T05:17:24Z,Johan Rooryck (born 1961) is a Dutch linguist and a visiting professor at Leiden University where he was Professor of French Linguistics between 1993-2020.," Johan Rooryck (born July 1, 1961) is a Belgian linguist and a visiting professor at Leiden University where he was Professor of French Linguistics between 1993-2020.",1
